condition,prototype,environment,totalTrials,taskSuccessRate,criticalExecutionErrorRate,meanEntityAccuracy,medianLatencyMs,minLatencyMs,maxLatencyMs,failureTimeoutRate,confirmationComplianceRate
C1,asr_tts,quiet,30,0.8333333333333334,0.13333333333333333,0.9333333333333333,8334,2293,97377,0.03333333333333333,0.9444444444444444
C2,asr_tts,industrial_noise,30,0.7666666666666667,0.06666666666666667,0.8,13895,2779,104997,0.03333333333333333,0.7777777777777778
